id,rating,genre,runtime
443,PG-13,Action and Adventure|Science Fiction and Fantasy,123.0
444,PG-13,Drama|Romance,116.0
445,R,Comedy|Drama|Mystery and Suspense,102.0
446,NR,Action and Adventure,69.0
447,R,Drama,95.0
448,NR,Action and Adventure|Classics|Comedy|Drama,116.0
450,PG,Comedy|Drama|Science Fiction and Fantasy|Romance,98.0
451,R,Drama|Mystery and Suspense,89.0
452,PG,Action and Adventure|Animation|Science Fiction and Fantasy,86.0
453,PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy,86.0
455,NR,Drama,129.0
456,R,Action and Adventure|Horror,125.0
457,R,Drama|Horror|Mystery and Suspense,85.0
458,PG-13,Comedy|Romance,94.0
459,NR,Art House and International|Comedy|Drama,95.0
460,R,Comedy|Drama,115.0
461,PG,Action and Adventure|Comedy,90.0
462,R,Horror,100.0
465,PG,Drama,128.0
466,R,Mystery and Suspense|Romance,102.0
468,PG-13,Comedy|Drama,115.0
469,PG-13,Documentary|Musical and Performing Arts|Special Interest,88.0
470,PG-13,Action and Adventure,117.0
471,R,Comedy|Drama|Mystery and Suspense,115.0
472,NR,Drama|Kids and Family,95.0
473,NR,Art House and International|Drama|Romance,121.0
474,NR,Art House and International|Drama,90.0
475,NR,Action and Adventure|Western|Romance,91.0
476,R,Art House and International|Drama,110.0
477,R,Art House and International|Documentary|Drama|Special Interest,133.0
478,R,Art House and International|Cult Movies|Drama,110.0
479,R,Comedy|Drama,105.0
482,PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,88.0
483,NR,Art House and International|Drama,91.0
484,NR,Comedy|Drama,100.0
486,NR,Comedy|Drama,104.0
487,PG,Drama,153.0
488,PG,Animation|Comedy|Kids and Family,90.0
489,R,Comedy,91.0
490,NR,Action and Adventure|Art House and International,145.0
491,PG,Comedy|Kids and Family,93.0
492,NR,Action and Adventure,110.0
493,R,Drama|Horror|Mystery and Suspense,103.0
494,G,Animation|Drama|Kids and Family|Science Fiction and Fantasy,87.0
495,PG,Comedy|Drama,98.0
496,NR,Action and Adventure|Science Fiction and Fantasy,93.0
497,PG-13,Comedy|Drama|Romance,108.0
499,R,Comedy,96.0
500,NR,Art House and International|Drama|Mystery and Suspense,88.0
502,NR,Horror,76.0
503,R,Art House and International|Classics|Drama|Horror|Science Fiction and Fantasy,95.0
504,PG,Comedy,86.0
505,R,Comedy,95.0
507,R,Art House and International|Drama|Musical and Performing Arts,85.0
508,R,Drama|Horror|Mystery and Suspense,107.0
509,NR,Classics|Drama|Romance,146.0
512,NR,Art House and International|Classics|Drama|Romance,111.0
513,NR,Action and Adventure|Drama,84.0
515,NR,Action and Adventure|Western,89.0
516,NR,Drama|Mystery and Suspense,78.0
517,PG,Horror,87.0
518,R,Comedy|Romance,102.0
520,PG,Drama|Kids and Family,100.0
522,G,Documentary|Special Interest|Sports and Fitness,45.0
523,R,Horror,85.0
524,NR,Drama,90.0
526,G,Classics|Comedy|Drama|Kids and Family|Musical and Performing Arts,179.0
527,NR,Action and Adventure|Documentary|Television,90.0
528,R,Comedy|Drama,114.0
531,PG,Action and Adventure|Drama|Mystery and Suspense|Television|Western,117.0
533,PG-13,Classics|Comedy,130.0
534,R,Drama,120.0
535,NR,Comedy,85.0
537,R,Action and Adventure|Drama|Mystery and Suspense|Romance,121.0
539,R,Art House and International|Comedy|Drama|Romance,87.0
541,NR,Drama|Romance,127.0
542,R,Action and Adventure|Mystery and Suspense,96.0
544,NR,Classics|Drama|Mystery and Suspense,64.0
545,R,Classics|Comedy|Drama|Television,138.0
547,PG-13,Classics|Comedy|Romance,126.0
548,R,Comedy|Drama,100.0
549,R,Action and Adventure|Art House and International|Comedy|Drama,89.0
550,NR,Comedy|Science Fiction and Fantasy,96.0
551,NR,Comedy|Science Fiction and Fantasy,111.0
552,R,Comedy|Drama,91.0
554,PG-13,Action and Adventure|Drama|Horror|Western,84.0
555,PG-13,Comedy|Drama,96.0
556,R,Drama,111.0
559,PG,Comedy|Kids and Family,87.0
560,NR,Musical and Performing Arts|Special Interest,93.0
561,PG-13,Action and Adventure|Art House and International|Drama|Kids and Family|Mystery and Suspense,109.0
562,NR,Art House and International|Drama|Mystery and Suspense,175.0
563,PG-13,Comedy|Drama|Romance,89.0
564,PG,Action and Adventure|Animation|Comedy,96.0
565,R,Art House and International|Documentary|Special Interest,90.0
566,G,Art House and International|Drama|Romance,101.0
567,PG-13,Comedy,90.0
571,R,Action and Adventure|Art House and International,92.0
572,PG-13,Action and Adventure|Comedy|Drama,91.0
573,PG-13,Comedy|Drama,118.0
576,NR,Action and Adventure|Art House and International,90.0
578,PG,Comedy|Drama,96.0
579,PG-13,Mystery and Suspense,101.0
580,NR,Classics|Western|Romance,79.0
581,PG-13,Comedy|Drama|Science Fiction and Fantasy,125.0
582,R,Drama|Mystery and Suspense,121.0
583,R,Drama|Romance,174.0
584,NR,Drama|Mystery and Suspense,80.0
585,R,Action and Adventure|Mystery and Suspense,129.0
586,NR,Documentary|Special Interest,90.0
588,R,Action and Adventure|Drama,100.0
589,NR,Animation|Anime and Manga|Art House and International|Horror|Science Fiction and Fantasy,80.0
590,PG-13,Drama|Romance,115.0
592,NR,Art House and International|Comedy|Romance,109.0
594,PG,Action and Adventure|Comedy|Science Fiction and Fantasy,105.0
595,R,Comedy|Drama,123.0
596,G,Documentary|Special Interest,86.0
597,PG,Comedy|Drama|Romance,121.0
598,NR,Classics|Drama|Mystery and Suspense,111.0
599,R,Drama|Mystery and Suspense|Romance,104.0
601,PG,Action and Adventure|Science Fiction and Fantasy,91.0
602,R,Drama,112.0
603,R,Drama,104.0
604,R,Documentary|Musical and Performing Arts|Special Interest,86.0
605,PG-13,Comedy|Special Interest,95.0
607,PG,Drama|Mystery and Suspense|Science Fiction and Fantasy,95.0
608,R,Comedy|Drama,87.0
609,NR,Classics|Drama|Mystery and Suspense,144.0
610,PG-13,Action and Adventure|Mystery and Suspense|Romance,103.0
611,R,Drama|Mystery and Suspense,137.0
612,R,Action and Adventure|Comedy|Drama|Mystery and Suspense,110.0
613,NR,Classics|Musical and Performing Arts,94.0
614,PG,Classics|Drama|Western,128.0
615,PG,Art House and International|Drama,109.0
617,NR,Action and Adventure|Drama|Western,100.0
618,PG,Drama,110.0
619,PG,Comedy|Kids and Family|Science Fiction and Fantasy,96.0
620,R,Action and Adventure,94.0
622,R,Drama,175.0
623,R,Art House and International|Drama|Mystery and Suspense,93.0
624,NR,Classics|Comedy|Musical and Performing Arts,110.0
626,R,Horror|Mystery and Suspense|Science Fiction and Fantasy,91.0
627,R,Animation|Documentary|Drama,100.0
628,PG,Drama|Kids and Family,124.0
631,R,Comedy|Romance,94.0
632,NR,Art House and International|Drama|Romance,86.0
633,NR,Drama,86.0
635,R,Horror,84.0
636,NR,Special Interest,90.0
638,R,Comedy|Drama|Mystery and Suspense,107.0
639,R,Drama|Mystery and Suspense|Science Fiction and Fantasy,93.0
640,NR,Classics|Drama|Mystery and Suspense,79.0
641,NR,Drama,104.0
642,NR,Classics|Drama|Romance,102.0
643,PG-13,Comedy,97.0
644,R,Drama|Mystery and Suspense,101.0
645,NR,Documentary|Musical and Performing Arts,152.0
646,PG-13,Comedy|Drama|Mystery and Suspense,108.0
647,NR,Drama|Musical and Performing Arts,86.0
648,R,Action and Adventure|Classics|Western,142.0
651,R,Drama|Mystery and Suspense,118.0
654,PG-13,Comedy|Drama,96.0
655,R,Comedy|Drama,184.0
656,G,Kids and Family,75.0
658,R,Comedy,93.0
659,R,Comedy,126.0
661,PG,Comedy|Romance,95.0
663,PG,Comedy|Science Fiction and Fantasy,88.0
664,NR,Art House and International|Drama,150.0
665,PG-13,Art House and International|Drama,104.0
666,NR,Drama|Mystery and Suspense,313.0
667,PG,Animation|Kids and Family,95.0
669,PG,Action and Adventure|Science Fiction and Fantasy,127.0
671,PG,Comedy|Kids and Family,104.0
672,PG-13,Drama|Horror,100.0
673,PG,Drama,109.0
674,R,Comedy|Mystery and Suspense,102.0
675,PG,Drama,164.0
676,NR,Action and Adventure|Drama,90.0
678,NR,Drama|Romance,107.0
679,NR,Documentary|Drama|Special Interest,93.0
680,NR,Drama,91.0
681,NR,Animation|Special Interest,11.0
683,R,Action and Adventure|Drama|Mystery and Suspense,122.0
684,PG,Action and Adventure|Science Fiction and Fantasy,109.0
685,R,Comedy|Romance,91.0
686,PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,92.0
687,R,Horror|Mystery and Suspense,114.0
688,R,Horror|Mystery and Suspense,110.0
689,R,Drama|Mystery and Suspense,148.0
690,NR,Classics|Comedy|Romance,109.0
691,NR,Art House and International|Drama,85.0
692,PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy|Western,98.0
693,PG,Comedy,102.0
694,R,Drama|Mystery and Suspense,95.0
695,NR,Action and Adventure|Classics|Comedy|Drama,91.0
696,R,Action and Adventure|Drama,130.0
697,NR,Art House and International|Drama,116.0
699,NR,Drama,90.0
700,R,Action and Adventure|Drama|Western,120.0
701,PG,Action and Adventure|Drama,90.0
704,R,Comedy,82.0
707,NR,Action and Adventure,6.0
708,NR,Drama|Mystery and Suspense,94.0
709,R,Comedy|Drama|Musical and Performing Arts,105.0
712,PG,Art House and International|Classics|Comedy|Drama|Musical and Performing Arts|Science Fiction and Fantasy|Romance,120.0
713,R,Comedy,89.0
714,R,Comedy,120.0
715,R,Drama|Mystery and Suspense,110.0
716,NR,Art House and International|Comedy,116.0
717,G,Drama|Special Interest,73.0
718,R,Art House and International|Horror,90.0
719,NR,Action and Adventure|Classics,122.0
720,NR,Classics|Comedy,101.0
721,R,Drama|Mystery and Suspense,117.0
722,NR,Action and Adventure|Art House and International|Comedy|Mystery and Suspense|Science Fiction and Fantasy,92.0
723,R,Drama|Musical and Performing Arts,119.0
724,NR,Art House and International|Drama|Sports and Fitness,90.0
725,NR,Drama|Romance,105.0
726,NR,Action and Adventure,85.0
727,NR,Art House and International|Comedy|Drama,114.0
729,PG,Kids and Family|Science Fiction and Fantasy,108.0
730,NR,Art House and International|Drama,97.0
731,R,Documentary|Musical and Performing Arts,106.0
732,NR,Western,92.0
733,NR,Comedy|Documentary|Musical and Performing Arts|Special Interest,82.0
734,NR,Art House and International,104.0
735,PG,Action and Adventure|Drama,116.0
736,R,Drama|Mystery and Suspense,114.0
737,NR,Drama,84.0
738,R,Art House and International|Horror|Mystery and Suspense,107.0
739,NR,Drama,114.0
740,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,92.0
741,R,Action and Adventure|Mystery and Suspense,99.0
742,R,Art House and International|Comedy|Drama|Romance,92.0
743,NR,Drama,90.0
744,PG-13,Comedy|Romance,100.0
745,PG,Comedy|Cult Movies|Mystery and Suspense|Science Fiction and Fantasy,94.0
746,NR,Action and Adventure|Classics|Drama|Romance,65.0
747,NR,Classics|Comedy|Drama|Romance,125.0
748,NR,Art House and International|Comedy|Drama,117.0
749,NR,Action and Adventure|Art House and International|Mystery and Suspense|Special Interest,90.0
750,NR,Documentary|Drama|Special Interest,60.0
752,R,Comedy,109.0
753,PG,Horror|Science Fiction and Fantasy,86.0
754,NR,Documentary,101.0
755,PG-13,Action and Adventure|Science Fiction and Fantasy,116.0
756,R,Drama,127.0
757,R,Action and Adventure|Drama|Mystery and Suspense,125.0
758,NR,Horror|Musical and Performing Arts|Science Fiction and Fantasy,71.0
760,R,Comedy,92.0
761,PG,Classics|Western,102.0
762,R,Art House and International|Drama,118.0
763,NR,Classics|Drama|Mystery and Suspense,110.0
765,NR,Art House and International|Classics|Comedy|Drama,88.0
766,G,Action and Adventure|Animation|Comedy|Kids and Family|Science Fiction and Fantasy,76.0
768,NR,Documentary|Special Interest,83.0
769,R,Drama,108.0
770,NR,Classics|Comedy|Drama|Musical and Performing Arts,98.0
771,PG-13,Comedy,84.0
772,NR,Art House and International|Comedy|Drama|Romance,145.0
773,R,Art House and International|Comedy|Drama,110.0
774,NR,Action and Adventure,80.0
776,PG,Comedy|Drama,88.0
778,R,Comedy|Drama|Sports and Fitness,119.0
779,R,Art House and International|Comedy|Drama,91.0
781,PG-13,Art House and International|Classics|Drama|Romance,121.0
782,R,Comedy|Drama,115.0
783,R,Action and Adventure|Mystery and Suspense,103.0
784,PG-13,Classics|Comedy|Drama,128.0
785,NR,Classics|Comedy|Musical and Performing Arts|Romance,117.0
786,NR,Action and Adventure|Drama|Special Interest,23.0
787,NR,Horror,90.0
